66	3	3.733030	1	1.712588	7.000000	1	0.961004	2	3	1	1	1	1.1860
67	4	3.733030	1	0.986112	7.000000	1	1.089621	2	5	1	2	2	1.1096
68	5	3.733030	1	1.333858	7.000000	1	0.921066	2	4	1	1	1	0.7484
69	6	3.733030	2	5.805976	7.000000	2	2.037837	3	7	2	2	2	0.9075
70	7	3.733030	2	9.643095	7.000000	1	1.254646	2	3	1	1	1	1.2764
71	8	3.733030	1	0.933156	7.000000	1	1.272663	7	6	1	1	1	1.4456
72	9	3.733030	2	13.681664	7.000000	2	0.978475	7	3	1	2	2	0.5710
73	10	3.733030	1	2.321149	7.000000	1	0.979737	4	2	1	1	1	0.7721
74	11	3.733030	2	6.677115	7.000000	2	1.637011	2	6	1	1	1	0.8270
75	12	3.733030	2	5.317200	7.000000	1	2.088828	2	3	1	1	1	1.3965
76	13	3.733030	1	2.128527	7.000000	2	1.763335	2	3	1	2	2	0.7239
77	14	3.733030	2	9.941417	7.000000	2	2.550721	3	8	1	2	2	0.7593
78	15	3.733030	2	8.142607	7.000000	2	1.496719	6	5	2	1	1	0.8760
79	16	3.733030	1	0.668245	7.000000	1	1.928827	2	8	1	1	1	0.9384
80	17	3.733030	2	6.318090	7.000000	2	1.060333	4	3	1	2	2	1.0501
81	18	3.733030	1	0.236301	7.000000	1	0.791064	4	5	1	2	2	0.7598
82	19	3.733030	2	13.482196	7.000000	2	1.129021	6	5	1	2	2	1.0436
83	20	3.733030	1	1.786901	7.000000	1	1.416727	6	7	2	2	2	0.7435
84	21	3.733030	1	1.845441	7.000000	1	0.992859	5	6	1	1	1	1.0653
85	22	3.733030	2	6.495012	7.000000	2	1.429677	2	7	1	2	2	0.7320
86	23	3.733030	2	6.870273	7.000000	2	1.173856	4	3	1	1	1	0.7912
87	24	3.733030	2	10.070142	7.000000	2	1.102804	7	4	1	2	2	0.7947
88	25	3.733030	1	2.126251	7.000000	1	1.057995	3	4	1	1	1	0.7999
89	26	3.733030	2	7.037801	7.000000	2	0.951138	3	8	1	1	1	0.5770
90	1	17.590728	1	15.875551	21.000000	2	1.515161	4	5	1	2	0	0.0000
91	2	17.590728	1	15.510532	21.000000	1	0.804422	2	3	1	2	0	0.0000
92	3	17.590728	2	19.790869	21.000000	1	0.837731	7	6	1	1	0	0.0000
93	4	17.590728	1	14.326720	21.000000	1	1.040095	5	7	1	1	0	0.0000
94	5	17.590728	1	14.866982	21.000000	1	1.178459	3	2	1	1	0	0.0000
95	6	17.590728	1	15.021555	21.000000	1	0.718727	3	2	2	1	0	0.0000
96	7	17.590728	1	14.684206	21.000000	1	0.558021	6	5	1	1	0	0.0000
97	8	17.590728	2	21.439058	21.000000	2	0.643898	6	4	1	1	0	0.0000
98	9	17.590728	2	25.822360	21.000000	2	0.565906	3	7	1	2	0	0.0000
99	10	17.590728	1	14.375108	21.000000	2	0.379187	2	5	1	1	0	0.0000
100	11	17.590728	1	14.820040	21.000000	1	0.896238	5	6	1	2	0	0.0000
101	12	17.590728	1	15.229078	21.000000	1	0.768119	3	2	1	2	0	0.0000
102	13	17.590728	2	20.821836	21.000000	2	0.437285	4	5	1	1	0	0.0000
103	14	17.590728	2	19.847232	21.000000	2	0.567990	8	6	1	1	0	0.0000
104	15	17.590728	1	15.725707	21.000000	1	0.389591	6	7	1	2	0	0.0000
105	16	17.590728	2	22.595070	21.000000	2	0.634241	2	4	2	2	0	0.0000
106	17	17.590728	2	22.001272	21.000000	2	0.748851	8	6	1	2	0	0.0000
107	1	60.365672	2	67.503693	63.000000	2	1.249671	7	8	1	2	2	1.1913
108	2	60.365672	2	65.848564	63.000000	2	1.111007	5	3	1	1	1	0.7222
109	3	60.365672	1	58.082288	63.000000	1	1.181035	2	5	1	1	1	0.6532
