t2c_delay,alpha,noise,t2c_liti,t2c_siti
1.0,0.01,3.4100000000000001,0.56134322059444142,0.26599143907879663
1.0,0.01,4.5099999999999998,0.50910891089108912,0.30587458745874591
1.0,0.91000000000000003,0.21000000000000002,0.67034925160370629,0.44939415538132571
1.0,0.01,0.01,0.37247714725314512,0.20979274142456331
1.0,0.01,0.11,0.32372061195561858,0.2354465027616208
1.0,0.01,0.21000000000000002,0.37789757412398917,0.25649595687331533
1.0,0.01,0.31000000000000005,0.39869033445178048,0.27248619980517375
1.0,0.01,0.41000000000000003,0.35748245415440338,0.27880914647951094
1.0,0.01,0.51000000000000001,0.3210351628264948,0.20380970705661647
1.0,0.01,0.6100000000000001,0.39388312397596947,0.25068268705625341
1.0,0.01,0.71000000000000008,0.36084823861665755,0.24921964029133425
1.0,0.01,0.81000000000000005,0.46904326270436164,0.31181018709791652
1.0,0.01,0.91000000000000003,0.26218951241950322,0.20929162833486661
1.0,0.01,1.01,0.44391326617722382,0.26179500313015763
1.0,0.01,1.1100000000000001,0.41913513513513517,0.27708108108108109
1.0,0.01,1.2100000000000002,0.36140970105353226,0.2694796513182523
1.0,0.01,1.3100000000000001,0.33339184622811252,0.25141528064247159
1.0,0.01,1.4100000000000001,0.3506779227423894,0.27362496802251213
1.0,0.01,1.51,0.37170324139319505,0.25281860277833701
1.0,0.01,1.6100000000000001,0.37269938650306744,0.28386031146767338
1.0,0.01,1.7100000000000002,0.31335830212234711,0.21946704550346549
1.0,0.01,1.8100000000000001,0.44444444444444448,0.27168990059408271
1.0,0.01,1.9100000000000001,0.364216211183016,0.2381395781926533
1.0,0.01,2.0099999999999998,0.37156038886142695,0.30773878178722469
1.0,0.01,2.1099999999999999,0.32428585452046721,0.25154608815156571
1.0,0.01,2.21,0.30119042147354874,0.20099278393160822
1.0,0.01,2.3100000000000001,0.35277301315037168,0.25004764627406134
1.0,0.01,2.4100000000000001,0.33668984938345348,0.20284166062209327
1.0,0.01,2.5099999999999998,0.42851356824625353,0.258982815483423
