vis_width,alpha_critic,alpha_actor,t2c_delay,t2c_liti,t2c_siti
1,0.01,0.01,1.0,0.3312302839116719,0.338948922746493
1,0.01,0.02,1.0,0.3693038294432656,0.3360614327574012
1,0.01,0.03,1.0,0.4240454914703493,0.3973734091524506
1,0.01,0.04,1.0,0.4508339952343129,0.45162827640984904
1,0.01,0.05,1.0,0.4430705821741371,0.4576678687961532
1,0.01,0.060000000000000005,1.0,0.5663679043960734,0.542466922748613
1,0.01,0.06999999999999999,1.0,0.5572224603514788,0.5162880411487356
1,0.01,0.08,1.0,0.5824788230049042,0.5534997770842621
1,0.01,0.09,1.0,0.5917174796747967,0.5927337398373983
1,0.01,0.09999999999999999,1.0,0.6091714434601354,0.6268890046899426
1,0.01,0.11,1.0,0.6572910977607865,0.695794647733479
1,0.01,0.12,1.0,0.6646015206983948,0.6722050126724867
1,0.01,0.13,1.0,0.6764621146643619,0.6905790838375108
1,0.01,0.14,1.0,0.6403162055335968,0.6547148503670243
1,0.01,0.15000000000000002,1.0,0.6734571599760335,0.6761533852606351
1,0.01,0.16,1.0,0.7098976109215017,0.6807322370462303
1,0.01,0.17,1.0,0.6845486668808224,0.7378734339865082
1,0.01,0.18000000000000002,1.0,0.8085885486018641,0.784953395472703
1,0.01,0.19,1.0,0.7721008403361345,0.771764705882353
1,0.02,0.01,1.0,0.3419854589930013,0.3544200584358225
1,0.02,0.02,1.0,0.3821230199547418,0.3542480970993622
1,0.02,0.03,1.0,0.39387567354448677,0.41201209094493363
1,0.02,0.04,1.0,0.44941176470588234,0.4465882352941176
1,0.02,0.05,1.0,0.5064032199048665,0.4829857299670692
1,0.02,0.060000000000000005,1.0,0.5408080808080808,0.5175757575757576
1,0.02,0.06999999999999999,1.0,0.528032619775739,0.528032619775739
1,0.02,0.08,1.0,0.5778436289035789,0.5580123090950536
1,0.02,0.09,1.0,0.5985103315713599,0.5852955309947141
1,0.02,0.09999999999999999,1.0,0.6076961519240379,0.6019490254872564
1,0.02,0.11,1.0,0.6219379422972238,0.6371801850843767
1,0.02,0.12,1.0,0.6507510729613735,0.6091738197424893
1,0.02,0.13,1.0,0.711683053788317,0.6648351648351648
1,0.02,0.14,1.0,0.6906915669681938,0.7140355996498394
1,0.02,0.15000000000000002,1.0,0.7418452935694315,0.7552034793414104
1,0.02,0.16,1.0,0.7029457364341086,0.7547286821705427
1,0.02,0.17,1.0,0.7141986593540525,0.7111517367458866
1,0.02,0.18000000000000002,1.0,0.7420554428668019,0.7697768762677485
1,0.02,0.19,1.0,0.7633487145682267,0.7808174027686223
1,0.03,0.01,1.0,0.3342360029788098,0.35258276352311957
1,0.03,0.02,1.0,0.36956741971431467,0.3835477661837707
1,0.03,0.03,1.0,0.3973897989079771,0.4337461712611533
1,0.03,0.04,1.0,0.41384499623777277,0.3945823927765237
1,0.03,0.05,1.0,0.5132198478812025,0.4835204636001449
1,0.03,0.060000000000000005,1.0,0.5008873989351212,0.5168605797673043
1,0.03,0.06999999999999999,1.0,0.4913204603081724,0.48215330602691625
1,0.03,0.08,1.0,0.5931887100536506,0.5861908094238395
1,0.03,0.09,1.0,0.5913405880990971,0.5871729567029406
1,0.03,0.09999999999999999,1.0,0.6568979817528339,0.678462814487144
1,0.03,0.11,1.0,0.6248073959938366,0.6070878274268106
1,0.03,0.12,1.0,0.6873421274207128,0.6794835812517541
1,0.03,0.13,1.0,0.6804635761589404,0.6625275938189845
1,0.03,0.14,1.0,0.6704380620829707,0.6684073107049608
1,0.03,0.15000000000000002,1.0,0.7070889894419307,0.6992458521870287
1,0.03,0.16,1.0,0.7000622277535781,0.7261978842563783
1,0.03,0.17,1.0,0.7591836734693878,0.7782312925170068
