sub_num,condition,stim_id,cat,resp,rt,age,gender,date,prob_num,num_problems_solved,current_trial_prob,current_trial_stim,current_trial_exp,relevant_dim
12,delay,24,2,1,2.9893259064429003,21,Female,2019-06-04,0,0,0,0,0,4
12,delay,16,2,2,1.2443694651174155,21,Female,2019-06-04,0,0,1,1,1,4
12,delay,21,1,2,1.7297250502651877,21,Female,2019-06-04,0,0,2,2,2,4
12,delay,46,1,1,1.7781062975736859,21,Female,2019-06-04,0,0,3,3,3,4
12,delay,57,2,2,0.708571336701425,21,Female,2019-06-04,0,0,4,4,4,4
12,delay,26,2,1,1.13322643986794,21,Female,2019-06-04,0,0,5,5,5,4
12,delay,22,1,1,1.3761177204978594,21,Female,2019-06-04,0,0,6,6,6,4
12,delay,56,2,2,0.856381128583962,21,Female,2019-06-04,0,0,7,7,7,4
12,delay,31,1,2,1.2205629962900275,21,Female,2019-06-04,0,0,8,8,8,4
12,delay,48,2,2,1.1935429216100601,21,Female,2019-06-04,0,0,9,9,9,4
12,delay,27,2,1,0.6468279941746005,21,Female,2019-06-04,0,0,10,10,10,4
12,delay,28,1,2,1.5339668615833943,21,Female,2019-06-04,0,0,11,11,11,4
12,delay,58,2,1,0.8309576539249974,21,Female,2019-06-04,0,0,12,12,12,4
12,delay,2,2,1,2.362772320941076,21,Female,2019-06-04,0,0,13,13,13,4
12,delay,8,2,2,1.3867732633189007,21,Female,2019-06-04,0,0,14,14,14,4
12,delay,29,1,1,2.3395455626177863,21,Female,2019-06-04,0,0,15,15,15,4
12,delay,33,2,2,2.6017484687145043,21,Female,2019-06-04,0,0,16,16,16,4
12,delay,25,2,2,2.6555678643126157,21,Female,2019-06-04,0,0,17,17,17,4
12,delay,1,2,1,2.342477506459545,21,Female,2019-06-04,0,0,18,18,18,4
12,delay,10,2,1,0.6941215499882674,21,Female,2019-06-04,0,0,19,19,19,4
12,delay,5,1,1,1.262222075189129,21,Female,2019-06-04,0,0,20,20,20,4
12,delay,49,2,2,1.4919132703616924,21,Female,2019-06-04,0,0,21,21,21,4
12,delay,14,1,1,2.4312202086766774,21,Female,2019-06-04,0,0,22,22,22,4
12,delay,3,2,2,1.0500072193281085,21,Female,2019-06-04,0,0,23,23,23,4
12,delay,53,1,2,2.168508394053788,21,Female,2019-06-04,0,0,24,24,24,4
12,delay,6,1,2,1.6839529639910324,21,Female,2019-06-04,0,0,25,25,25,4
12,delay,43,2,2,2.003680466044898,21,Female,2019-06-04,0,0,26,26,26,4
12,delay,37,1,1,3.2593065178316465,21,Female,2019-06-04,0,0,27,27,27,4
