sub_num,condition,stim_id,cat,resp,rt,age,gender,date,prob_num,num_problems_solved,current_trial_prob,current_trial_stim,current_trial_exp,relevant_dim
18,delay,35,2,1,2.673677193793992,18,Female,2019-06-04,0,0,0,0,0,4
18,delay,36,1,2,2.1687167284908355,18,Female,2019-06-04,0,0,1,1,1,4
18,delay,18,2,1,3.6200352834894147,18,Female,2019-06-04,0,0,2,2,2,4
18,delay,32,2,2,2.3464571505955973,18,Female,2019-06-04,0,0,3,3,3,4
18,delay,54,1,2,1.1619852867970621,18,Female,2019-06-04,0,0,4,4,4,4
18,delay,16,2,1,1.4534549807794974,18,Female,2019-06-04,0,0,5,5,5,4
18,delay,21,1,2,1.6988409503665025,18,Female,2019-06-04,0,0,6,6,6,4
18,delay,40,2,1,8.5151188452528,18,Female,2019-06-04,0,0,7,7,7,4
18,delay,56,2,1,0.6320577026654064,18,Female,2019-06-04,0,0,8,8,8,4
18,delay,57,2,2,0.8628049817380088,18,Female,2019-06-04,0,0,9,9,9,4
18,delay,27,2,2,1.1792111858430872,18,Female,2019-06-04,0,0,10,10,10,4
18,delay,28,1,2,1.343413284919734,18,Female,2019-06-04,0,0,11,11,11,4
18,delay,0,2,2,0.9853965558704658,18,Female,2019-06-04,0,0,12,12,12,4
18,delay,55,1,1,0.755369354315917,18,Female,2019-06-04,0,0,13,13,13,4
18,delay,48,2,2,0.7332306035114016,18,Female,2019-06-04,0,0,14,14,14,4
18,delay,49,2,2,0.6940316735162924,18,Female,2019-06-04,0,0,15,15,15,4
18,delay,10,2,2,0.7823090341444185,18,Female,2019-06-04,0,0,16,16,16,4
18,delay,41,2,2,0.5205739967004774,18,Female,2019-06-04,0,0,17,17,17,4
18,delay,43,2,2,0.6369776655374153,18,Female,2019-06-04,0,0,18,18,18,4
18,delay,33,2,2,0.48340884511162585,18,Female,2019-06-04,0,0,19,19,19,4
18,delay,8,2,2,0.6623491902919341,18,Female,2019-06-04,0,0,20,20,20,4
18,delay,15,1,1,0.6859333521733788,18,Female,2019-06-04,0,0,21,21,21,4
18,delay,51,2,2,0.5354040689162503,18,Female,2019-06-04,0,0,22,22,22,4
18,delay,53,1,1,0.6183224327178323,18,Female,2019-06-04,0,0,23,23,23,4
18,delay,62,1,1,2.5208476199713914,18,Female,2019-06-04,1,1,0,0,24,2
18,delay,2,2,2,0.7967690192908776,18,Female,2019-06-04,1,1,1,1,25,2
18,delay,58,1,1,0.6592471989952173,18,Female,2019-06-04,1,1,2,2,26,2
18,delay,15,2,2,1.4988238836940582,18,Female,2019-06-04,1,1,3,3,27,2
18,delay,37,2,1,0.5337011118681403,18,Female,2019-06-04,1,1,4,4,28,2
18,delay,22,1,2,2.1381299750737526,18,Female,2019-06-04,1,1,5,5,29,2
18,delay,35,2,1,1.2371188365959824,18,Female,2019-06-04,1,1,6,6,30,2
18,delay,17,1,2,1.7541613925914135,18,Female,2019-06-04,1,1,7,7,31,2
18,delay,44,2,2,0.7497274588531582,18,Female,2019-06-04,1,1,8,8,32,2
18,delay,33,2,2,0.45534159005728725,18,Female,2019-06-04,1,1,9,9,33,2
