sub_num,condition,stim_id,cat,resp,rt,age,gender,date,prob_num,num_problems_solved,current_trial_prob,current_trial_stim,current_trial_exp,relevant_dim
15,immediate,11,1,2,2.6808888888899673,20,Female,2019-06-04,0,0,0,0,0,3
15,immediate,54,2,2,3.329676985507831,20,Female,2019-06-04,0,0,1,1,1,3
15,immediate,51,2,2,1.056263111109729,20,Female,2019-06-04,0,0,2,2,2,3
15,immediate,16,2,1,3.3229625507246965,20,Female,2019-06-04,0,0,3,3,3,3
15,immediate,36,2,2,1.0182662801926199,20,Female,2019-06-04,0,0,4,4,4,3
15,immediate,20,2,2,0.6333724444430118,20,Female,2019-06-04,0,0,5,5,5,3
15,immediate,4,2,2,0.6563410241542442,20,Female,2019-06-04,0,0,6,6,6,3
15,immediate,13,1,2,0.5992409661830607,20,Female,2019-06-04,0,0,7,7,7,3
15,immediate,61,1,1,0.8449307826085715,20,Female,2019-06-04,0,0,8,8,8,3
15,immediate,17,2,1,0.8086616425116517,20,Female,2019-06-04,0,0,9,9,9,3
15,immediate,55,2,2,0.5474031304347591,20,Female,2019-06-04,0,0,10,10,10,3
15,immediate,29,1,1,0.8242408502428589,20,Female,2019-06-04,0,0,11,11,11,3
15,immediate,21,2,2,0.6271496038662008,20,Female,2019-06-04,0,0,12,12,12,3
15,immediate,63,1,1,0.47362071497627767,20,Female,2019-06-04,0,0,13,13,13,3
15,immediate,7,2,2,1.0204815458928351,20,Female,2019-06-04,0,0,14,14,14,3
15,immediate,22,2,2,0.5566729275360558,20,Female,2019-06-04,0,0,15,15,15,3
15,immediate,31,1,1,0.7373953236728994,20,Female,2019-06-04,0,0,16,16,16,3
15,immediate,53,2,1,0.9476823188415437,20,Female,2019-06-04,0,0,17,17,17,3
15,immediate,39,2,2,0.7377267632837174,20,Female,2019-06-04,0,0,18,18,18,3
15,immediate,10,1,1,0.602796212560861,20,Female,2019-06-04,0,0,19,19,19,3
15,immediate,47,1,1,1.2328789951698127,20,Female,2019-06-04,0,0,20,20,20,3
15,immediate,57,1,1,0.5199273429952882,20,Female,2019-06-04,0,0,21,21,21,3
15,immediate,24,1,1,0.8600796135269775,20,Female,2019-06-04,0,0,22,22,22,3
15,immediate,50,2,2,0.8556976231884619,20,Female,2019-06-04,0,0,23,23,23,3
15,immediate,34,2,2,1.4115286570049648,20,Female,2019-06-04,0,0,24,24,24,3
15,immediate,23,2,2,0.7803767342993524,20,Female,2019-06-04,0,0,25,25,25,3
15,immediate,59,1,1,0.4450037487931695,20,Female,2019-06-04,0,0,26,26,26,3
15,immediate,44,1,1,1.0389478647339274,20,Female,2019-06-04,0,0,27,27,27,3
15,immediate,28,1,1,0.8794750144934369,20,Female,2019-06-04,0,0,28,28,28,3
15,immediate,5,2,2,1.020189990338622,20,Female,2019-06-04,0,0,29,29,29,3
15,immediate,34,2,2,1.2634601739118807,20,Female,2019-06-04,1,1,0,0,30,4
15,immediate,41,2,2,0.8524493913046172,20,Female,2019-06-04,1,1,1,1,31,4
15,immediate,7,1,1,0.5765917681164865,20,Female,2019-06-04,1,1,2,2,32,4
15,immediate,39,1,1,0.4857646376822231,20,Female,2019-06-04,1,1,3,3,33,4
15,immediate,56,2,2,0.47248139130351774,20,Female,2019-06-04,1,1,4,4,34,4
15,immediate,44,1,1,0.49180846376839327,20,Female,2019-06-04,1,1,5,5,35,4
15,immediate,24,2,2,0.5410393043475779,20,Female,2019-06-04,1,1,6,6,36,4
15,immediate,4,1,1,0.6091989951692085,20,Female,2019-06-04,1,1,7,7,37,4
15,immediate,2,2,2,0.8224822415450035,20,Female,2019-06-04,1,1,8,8,38,4
15,immediate,45,1,1,0.5935211594205612,20,Female,2019-06-04,1,1,9,9,39,4
15,immediate,21,1,1,1.0313921545894118,20,Female,2019-06-04,1,1,10,10,40,4
15,immediate,48,2,2,0.4846964251210011,20,Female,2019-06-04,1,1,11,11,41,4
15,immediate,44,2,2,1.2541229758462578,20,Female,2019-06-04,2,2,0,0,42,6
15,immediate,56,2,1,0.6035339130430657,20,Female,2019-06-04,2,2,1,1,43,6
15,immediate,31,1,1,0.9454178937194229,20,Female,2019-06-04,2,2,2,2,44,6
15,immediate,32,2,2,0.822092676327884,20,Female,2019-06-04,2,2,3,3,45,6
15,immediate,2,2,2,1.6337490241548949,20,Female,2019-06-04,2,2,4,4,46,6
15,immediate,46,2,2,0.5280278260870546,20,Female,2019-06-04,2,2,5,5,47,6
15,immediate,11,1,1,0.6927526956515067,20,Female,2019-06-04,2,2,6,6,48,6
15,immediate,8,2,2,0.7643275748778251,20,Female,2019-06-04,2,2,7,7,49,6
15,immediate,3,1,1,0.8964804637689667,20,Female,2019-06-04,2,2,8,8,50,6
15,immediate,47,1,2,0.8136360193238943,20,Female,2019-06-04,2,2,9,9,51,6
15,immediate,58,2,2,1.130173835748792,20,Female,2019-06-04,2,2,10,10,52,6
15,immediate,28,2,2,0.6531431884050107,20,Female,2019-06-04,2,2,11,11,53,6
15,immediate,33,1,1,0.5958897777763923,20,Female,2019-06-04,2,2,12,12,54,6
15,immediate,7,1,1,0.5382276328509761,20,Female,2019-06-04,2,2,13,13,55,6
15,immediate,10,2,2,0.5428739710150694,20,Female,2019-06-04,2,2,14,14,56,6
15,immediate,26,2,2,0.6108874202891457,20,Female,2019-06-04,2,2,15,15,57,6
15,immediate,0,2,2,0.46427980676162406,20,Female,2019-06-04,2,2,16,16,58,6
15,immediate,27,1,1,0.8350546859910537,20,Female,2019-06-04,2,2,17,17,59,6
15,immediate,60,2,2,0.6385041932353488,20,Female,2019-06-04,2,2,18,18,60,6
15,immediate,42,2,2,0.6132025507231447,20,Female,2019-06-04,2,2,19,19,61,6
15,immediate,15,1,1,0.705792309177923,20,Female,2019-06-04,2,2,20,20,62,6
15,immediate,13,1,1,1.2904564251202828,20,Female,2019-06-04,2,2,21,21,63,6
15,immediate,57,2,2,0.9196336231871101,20,Female,2019-06-04,3,3,0,0,64,5
15,immediate,26,1,2,0.6767607343008422,20,Female,2019-06-04,3,3,1,1,65,5
15,immediate,19,1,2,1.6602484251216083,20,Female,2019-06-04,3,3,2,2,66,5
15,immediate,18,1,1,0.7569904541069263,20,Female,2019-06-04,3,3,3,3,67,5
15,immediate,28,2,1,0.6390718454094895,20,Female,2019-06-04,3,3,4,4,68,5
15,immediate,40,2,2,2.8216094299514225,20,Female,2019-06-04,3,3,5,5,69,5
15,immediate,59,1,2,0.9994796521732496,20,Female,2019-06-04,3,3,6,6,70,5
15,immediate,45,2,1,1.6388365603852435,20,Female,2019-06-04,3,3,7,7,71,5
15,immediate,29,2,1,1.3658422415446694,20,Female,2019-06-04,3,3,8,8,72,5
15,immediate,43,1,1,0.7815664541067235,20,Female,2019-06-04,3,3,9,9,73,5
15,immediate,62,1,1,1.7356271304361144,20,Female,2019-06-04,3,3,10,10,74,5
15,immediate,13,2,2,2.1157095265698445,20,Female,2019-06-04,3,3,11,11,75,5
15,immediate,35,1,2,2.605817507246684,20,Female,2019-06-04,3,3,12,12,76,5
15,immediate,55,1,2,0.8839086376810883,20,Female,2019-06-04,3,3,13,13,77,5
15,immediate,49,2,2,5.22159428019404,20,Female,2019-06-04,3,3,14,14,78,5
15,immediate,11,1,2,1.0104595169068489,20,Female,2019-06-04,3,3,15,15,79,5
15,immediate,4,2,2,2.068493603863317,20,Female,2019-06-04,3,3,16,16,80,5
15,immediate,48,2,1,1.7253976425126893,20,Female,2019-06-04,3,3,17,17,81,5
