sub_num,condition,stim_id,cat,resp,rt,age,gender,date,prob_num,num_problems_solved,current_trial_prob,current_trial_stim,current_trial_exp,relevant_dim
33,immediate,10,2,1,1.0312625603669403,18,Female,2020-03-09,0,0,0,0,0,6
33,immediate,54,2,1,1.4020634557471112,18,Female,2020-03-09,0,0,1,1,1,6
33,immediate,36,2,2,0.8377750913621185,18,Female,2020-03-09,0,0,2,2,2,6
33,immediate,35,1,2,0.8651444790036749,18,Female,2020-03-09,0,0,3,3,3,6
33,immediate,50,2,2,1.108855483895013,18,Female,2020-03-09,0,0,4,4,4,6
33,immediate,56,2,2,1.5124864734509629,18,Female,2020-03-09,0,0,5,5,5,6
33,immediate,37,1,1,0.674206493980364,18,Female,2020-03-09,0,0,6,6,6,6
33,immediate,9,1,1,0.5874643672048023,18,Female,2020-03-09,0,0,7,7,7,6
33,immediate,2,2,2,0.9735476350954286,18,Female,2020-03-09,0,0,8,8,8,6
33,immediate,43,1,1,0.5768580067895073,18,Female,2020-03-09,0,0,9,9,9,6
33,immediate,39,1,1,0.568227295493898,18,Female,2020-03-09,0,0,10,10,10,6
33,immediate,27,1,1,0.5113276733097791,18,Female,2020-03-09,0,0,11,11,11,6
33,immediate,34,2,2,1.109324816502749,18,Female,2020-03-09,0,0,12,12,12,6
33,immediate,62,2,2,0.6814888788576354,18,Female,2020-03-09,0,0,13,13,13,6
33,immediate,48,2,2,0.7076453601616777,18,Female,2020-03-09,0,0,14,14,14,6
33,immediate,63,1,1,0.6062645700258145,18,Female,2020-03-09,0,0,15,15,15,6
33,immediate,40,1,1,1.0560651500445601,18,Female,2020-03-09,1,1,0,0,16,1
33,immediate,25,2,2,0.6752914005155617,18,Female,2020-03-09,1,1,1,1,17,1
33,immediate,35,1,2,1.8350444289167172,18,Female,2020-03-09,1,1,2,2,18,1
33,immediate,7,2,1,1.02458059968194,18,Female,2020-03-09,1,1,3,3,19,1
33,immediate,14,2,2,1.538713447399914,18,Female,2020-03-09,1,1,4,4,20,1
33,immediate,46,1,2,1.3933705996200842,18,Female,2020-03-09,1,1,5,5,21,1
33,immediate,23,2,1,2.4079338234842,18,Female,2020-03-09,1,1,6,6,22,1
33,immediate,6,2,1,1.2270478422447013,18,Female,2020-03-09,1,1,7,7,23,1
33,immediate,49,1,1,0.3027182953146621,18,Female,2020-03-09,1,1,8,8,24,1
33,immediate,42,1,1,1.231677168421811,18,Female,2020-03-09,1,1,9,9,25,1
33,immediate,17,2,1,0.470712470395938,18,Female,2020-03-09,1,1,10,10,26,1
33,immediate,44,1,2,1.196046537512757,18,Female,2020-03-09,1,1,11,11,27,1
33,immediate,32,1,2,1.7939314489949538,18,Female,2020-03-09,1,1,12,12,28,1
33,immediate,37,1,2,4.311024060252748,18,Female,2020-03-09,1,1,13,13,29,1
33,immediate,29,2,2,1.039304905422341,18,Female,2020-03-09,1,1,14,14,30,1
33,immediate,0,2,2,0.6100285062361763,18,Female,2020-03-09,1,1,15,15,31,1
33,immediate,59,1,2,0.6186431402616108,18,Female,2020-03-09,1,1,16,16,32,1
33,immediate,47,1,1,0.6844492607547181,18,Female,2020-03-09,1,1,17,17,33,1
33,immediate,2,2,1,0.7587256290230471,18,Female,2020-03-09,1,1,18,18,34,1
33,immediate,30,2,2,0.5945794866406686,18,Female,2020-03-09,1,1,19,19,35,1
33,immediate,54,1,2,1.448447925104574,18,Female,2020-03-09,1,1,20,20,36,1
33,immediate,38,1,2,2.0207056684744202,18,Female,2020-03-09,1,1,21,21,37,1
33,immediate,20,2,2,1.7424894415621566,18,Female,2020-03-09,1,1,22,22,38,1
33,immediate,62,1,2,1.2938127245406577,18,Female,2020-03-09,1,1,23,23,39,1
33,immediate,22,2,2,0.8382880181052315,18,Female,2020-03-09,1,1,24,24,40,1
33,immediate,27,2,2,1.012503169077263,18,Female,2020-03-09,1,1,25,25,41,1
33,immediate,8,2,1,0.8060339230391946,18,Female,2020-03-09,1,1,26,26,42,1
33,immediate,26,2,2,1.859173628330609,18,Female,2020-03-09,1,1,27,27,43,1
33,immediate,5,2,1,1.033653745076208,18,Female,2020-03-09,1,1,28,28,44,1
33,immediate,19,2,2,0.6355947662300423,18,Female,2020-03-09,1,1,29,29,45,1
33,immediate,9,2,2,1.1089677156051039,18,Female,2020-03-09,1,1,30,30,46,1
33,immediate,11,2,2,0.5529869712281652,18,Female,2020-03-09,1,1,31,31,47,1
33,immediate,55,1,2,0.4959633685589324,18,Female,2020-03-09,1,1,32,32,48,1
33,immediate,39,1,1,0.8060094979559835,18,Female,2020-03-09,1,1,33,33,49,1
33,immediate,57,1,1,1.4268345092414165,18,Female,2020-03-09,1,1,34,34,50,1
33,immediate,45,1,1,0.6056873342031395,18,Female,2020-03-09,1,1,35,35,51,1
33,immediate,13,2,2,0.8539550083787617,18,Female,2020-03-09,1,1,36,36,52,1
33,immediate,24,2,2,0.7719606230562022,18,Female,2020-03-09,1,1,37,37,53,1
33,immediate,1,2,2,0.9446441048980887,18,Female,2020-03-09,1,1,38,38,54,1
33,immediate,53,1,1,0.43318874096439686,18,Female,2020-03-09,1,1,39,39,55,1
33,immediate,3,2,2,1.5381547622728249,18,Female,2020-03-09,1,1,40,40,56,1
33,immediate,50,1,1,1.3291054236051423,18,Female,2020-03-09,1,1,41,41,57,1
33,immediate,4,2,2,0.9062738453740167,18,Female,2020-03-09,1,1,42,42,58,1
33,immediate,33,1,1,0.5059250922899992,18,Female,2020-03-09,1,1,43,43,59,1
33,immediate,61,1,1,1.1195858247951946,18,Female,2020-03-09,1,1,44,44,60,1
33,immediate,62,1,1,1.8593514058334222,18,Female,2020-03-09,2,2,0,0,61,2
33,immediate,44,2,2,0.6652434160487246,18,Female,2020-03-09,2,2,1,1,62,2
33,immediate,17,1,1,1.0591479665345105,18,Female,2020-03-09,2,2,2,2,63,2
