sub_num,condition,stim_id,cat,resp,rt,age,gender,date,prob_num,num_problems_solved,current_trial_prob,current_trial_stim,current_trial_exp,relevant_dim
36,delay,28,2,1,2.8156890801537884,37,Female,2020-03-09,0,0,0,0,0,5
36,delay,63,1,2,4.5824045867257155,37,Female,2020-03-09,0,0,1,1,1,5
36,delay,20,2,1,0.6437375729547057,37,Female,2020-03-09,0,0,2,2,2,5
36,delay,34,1,2,1.1113120084646653,37,Female,2020-03-09,0,0,3,3,3,5
36,delay,15,1,1,1.6751077564549632,37,Female,2020-03-09,0,0,4,4,4,5
36,delay,44,2,2,1.0369267404512357,37,Female,2020-03-09,0,0,5,5,5,5
36,delay,5,2,1,2.1116814768347467,37,Female,2020-03-09,0,0,6,6,6,5
36,delay,59,1,2,1.655033720559004,37,Female,2020-03-09,0,0,7,7,7,5
36,delay,43,1,1,1.1444135918600296,37,Female,2020-03-09,0,0,8,8,8,5
36,delay,58,1,1,1.2133205250966057,37,Female,2020-03-09,0,0,9,9,9,5
36,delay,52,2,1,0.8042479278083192,37,Female,2020-03-09,0,0,10,10,10,5
36,delay,9,2,2,1.2432786901472355,37,Female,2020-03-09,0,0,11,11,11,5
36,delay,27,1,2,0.7611638964790473,37,Female,2020-03-09,0,0,12,12,12,5
36,delay,18,1,2,2.564889003353528,37,Female,2020-03-09,0,0,13,13,13,5
36,delay,36,2,1,1.0709199947932575,37,Female,2020-03-09,0,0,14,14,14,5
36,delay,32,2,1,1.7942500209464924,37,Female,2020-03-09,0,0,15,15,15,5
36,delay,50,1,1,1.010422409014609,37,Female,2020-03-09,0,0,16,16,16,5
36,delay,40,2,2,1.0445408806708656,37,Female,2020-03-09,0,0,17,17,17,5
36,delay,25,2,1,1.0857240822579115,37,Female,2020-03-09,0,0,18,18,18,5
36,delay,42,1,2,2.145067813677997,37,Female,2020-03-09,0,0,19,19,19,5
36,delay,16,2,1,2.366289705869349,37,Female,2020-03-09,0,0,20,20,20,5
36,delay,4,2,2,5.817850238237952,37,Female,2020-03-09,0,0,21,21,21,5
36,delay,29,2,1,1.3848571146781978,37,Female,2020-03-09,0,0,22,22,22,5
36,delay,39,1,2,0.9638019933981923,37,Female,2020-03-09,0,0,23,23,23,5
36,delay,0,2,1,1.2161028228929354,37,Female,2020-03-09,0,0,24,24,24,5
36,delay,24,2,1,0.9512283200137972,37,Female,2020-03-09,0,0,25,25,25,5
36,delay,33,2,1,1.5753556249010217,37,Female,2020-03-09,0,0,26,26,26,5
36,delay,21,2,2,0.6311685372484135,37,Female,2020-03-09,0,0,27,27,27,5
36,delay,48,2,2,0.7274655984747369,37,Female,2020-03-09,0,0,28,28,28,5
36,delay,38,1,1,0.6432265008070317,37,Female,2020-03-09,0,0,29,29,29,5
36,delay,30,1,2,0.45054766342946095,37,Female,2020-03-09,0,0,30,30,30,5
36,delay,7,1,1,0.8389294136086392,37,Female,2020-03-09,0,0,31,31,31,5
36,delay,13,2,2,1.9567876595710914,37,Female,2020-03-09,0,0,32,32,32,5
36,delay,17,2,1,0.7172123101299803,37,Female,2020-03-09,0,0,33,33,33,5
36,delay,62,1,1,0.6964874533796319,37,Female,2020-03-09,0,0,34,34,34,5
36,delay,3,1,2,0.39688045023831364,37,Female,2020-03-09,0,0,35,35,35,5
36,delay,2,1,1,1.0403292504242927,37,Female,2020-03-09,0,0,36,36,36,5
36,delay,14,1,2,0.7868114941456952,37,Female,2020-03-09,0,0,37,37,37,5
36,delay,41,2,2,1.6477111357153262,37,Female,2020-03-09,0,0,38,38,38,5
36,delay,23,1,1,0.496490050479224,37,Female,2020-03-09,0,0,39,39,39,5
36,delay,47,1,2,0.5015856222080401,37,Female,2020-03-09,0,0,40,40,40,5
36,delay,12,2,2,0.9014663411217043,37,Female,2020-03-09,0,0,41,41,41,5
36,delay,1,2,1,1.0766985419450066,37,Female,2020-03-09,0,0,42,42,42,5
36,delay,22,1,2,1.4540682796096007,37,Female,2020-03-09,0,0,43,43,43,5
36,delay,31,1,1,0.5173453805782628,37,Female,2020-03-09,0,0,44,44,44,5
36,delay,54,1,1,1.722514103953472,37,Female,2020-03-09,0,0,45,45,45,5
36,delay,45,2,2,1.509103917075663,37,Female,2020-03-09,0,0,46,46,46,5
36,delay,60,2,1,1.2027323963775416,37,Female,2020-03-09,0,0,47,47,47,5
36,delay,35,1,1,1.6299135815024783,37,Female,2020-03-09,0,0,48,48,48,5
36,delay,57,2,1,1.934888851856158,37,Female,2020-03-09,0,0,49,49,49,5
36,delay,11,1,2,0.5667187220287815,37,Female,2020-03-09,0,0,50,50,50,5
36,delay,37,2,2,0.6541729674681847,37,Female,2020-03-09,0,0,51,51,51,5
36,delay,49,2,1,0.9788376555979994,37,Female,2020-03-09,0,0,52,52,52,5
36,delay,61,2,1,0.8519594345370933,37,Female,2020-03-09,0,0,53,53,53,5
36,delay,19,1,2,0.4528120871500505,37,Female,2020-03-09,0,0,54,54,54,5
36,delay,10,1,2,1.5931513240411732,37,Female,2020-03-09,0,0,55,55,55,5
36,delay,51,1,1,1.0011433422878326,37,Female,2020-03-09,0,0,56,56,56,5
36,delay,56,2,1,0.8060726996263838,37,Female,2020-03-09,0,0,57,57,57,5
36,delay,55,1,1,1.4750429526311564,37,Female,2020-03-09,0,0,58,58,58,5
36,delay,53,2,2,1.696252477679991,37,Female,2020-03-09,0,0,59,59,59,5
36,delay,6,1,1,1.0105865828254537,37,Female,2020-03-09,0,0,60,60,60,5
36,delay,26,1,1,1.2707287987759628,37,Female,2020-03-09,0,0,61,61,61,5
